BindingDB MonomerID	Ligand SMILES	IC50_Orexin2_nM
184075	C[C@@H]1CN([C@H](Cc2cccc(c2)-c2ncccn2)CO1)C(=O)c1cc(Cl)ccc1-n1nccn1	110
184076	C[C@@H]1CN([C@H](Cc2cccc(c2)-c2ncccn2)CO1)C(=O)c1ccc(Cl)cc1-n1nccn1	83
184077	C[C@@H]1CN([C@H](Cc2cc(ccc2F)-n2nccn2)CO1)C(=O)c1cc(C)ccc1-n1nccn1	146
184078	C[C@@H]1CN([C@H](Cc2cc(ccc2F)-n2nccn2)CO1)C(=O)c1ccccc1-n1nccn1	899
184079	C[C@@H]1CN([C@H](Cc2cc(ccc2F)-n2nccn2)CO1)C(=O)c1ccc(C)cc1-n1nccn1	107
184080	C[C@@H]1CN([C@H](Cc2cc(ccc2F)-n2nccn2)CO1)C(=O)c1cccc(C)c1-n1nccn1	728
184081	Cc1ccc(c(c1)C(=O)N1CCOC[C@H]1Cc1cc(ccc1C)-n1nccn1)-n1nccn1	593
184082	Cc1ccc(C(=O)N2CCOC[C@H]2Cc2cc(ccc2Cl)-n2nccn2)c(c1)-n1nccn1	531
184083	Cc1ccc(cc1C[C@@H]1COCCN1C(=O)c1ccccc1-n1nccn1)-n1nccn1	1640
184084	Cc1cccc(C(=O)N2CCOC[C@H]2Cc2cc(ccc2Cl)-n2nccn2)c1-n1nccn1	1610
184085	Cc1ccc(C(=O)N2CCOC[C@H]2Cc2cc(ccc2C)-n2nccn2)c(c1)-n1nccn1	939
184086	Cc1ccc(cc1C[C@@H]1COCCN1C(=O)c1cccc(C)c1-n1nccn1)-n1nccn1	997
184087	Cc1ccc(c(c1)C(=O)N1CCOC[C@H]1Cc1cc(ccc1Cl)-n1nccn1)-n1nccn1	626
184088	Clc1ccc(cc1C[C@@H]1COCCN1C(=O)c1ccccc1-n1nccn1)-n1nccn1	1480
184089	Cc1cccc(C(=O)N2CCOC[C@H]2Cc2cc(ccc2F)-n2nccn2)c1-n1nccn1	1500
